,"{1: [2, 3, 4, 6, 7, 8, 10, 16, 22, 29, 32, 33, 34, 37, 43, 46, 48, 49, 50, 51, 52, 55, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 79, 80, 81, 83, 84, 85, 87, 91, 94, 100, 107, 115, 116, 117, 127, 128, 130, 135, 145, 147, 151, 152, 153, 163, 173, 178, 184, 188, 189, 190, 196, 198, 207, 209, 211, 216, 219, 221, 224, 225, 226, 235, 238, 248, 253, 261, 262, 263, 266, 270, 273, 276, 278, 286, 289, 290, 291, 293, 296, 298, 300, 303, 304, 305, 311, 314, 326, 328, 330, 332, 334, 336, 342, 344, 345, 346, 347, 350, 353, 366, 368, 371, 377, 380, 383, 384, 385, 388, 392, 396, 400, 404, 411, 415, 418, 420, 421, 422, 427, 429, 433, 446, 456, 457, 458, 465, 470, 473, 475, 477, 479, 481, 483, 495, 496, 497, 499, 502, 509, 511, 522, 524, 530, 532, 533, 534, 542, 544, 547, 558, 560, 565, 566, 567, 569, 572, 595, 600, 601, 602, 605, 607, 610, 625, 636, 637, 638, 641, 650, 663, 665, 669, 673, 674, 675, 681, 696, 703, 710, 711, 712, 715, 728, 739, 747, 748, 749, 759, 767, 772, 776, 783, 784, 785, 790, 792, 795, 797, 799, 801, 804, 806, 808, 810, 819, 822, 823, 824, 832, 841, 848, 851, 857, 858, 859, 861, 872, 878, 888, 894, 895, 896, 903, 912, 914, 917, 922, 926, 931, 932, 933, 942, 951, 954, 956, 959, 962, 964, 966, 969, 970, 971, 973, 976, 978, 981, 983, 985, 989, 991, 994, 996, 999, 1001, 1004, 1007, 1009, 1010, 1011, 1014, 1016, 1018, 1021, 1024, 1028, 1031, 1036, 1038, 1041, 1048, 1049, 1050, 1053, 1055, 1057, 1059, 1061, 1068, 1070, 1076, 1078, 1081, 1085, 1086, 1087, 1091, 1094, 1096, 1100, 1102, 1104, 1106, 1108, 1111, 1113, 1115, 1117, 1119, 1122, 1124, 1125, 1126, 1128, 1130, 1133, 1136, 1138, 1140, 1142, 1146, 1148, 1155, 1157, 1159, 1163, 1164, 1165, 1175, 1184, 1186, 1188, 1189, 1191, 1196, 1198, 1199, 1200, 1204, 1206, 1209, 1211, 1216, 1218, 1220, 1223, 1236, 1237, 1238, 1240, 1243, 1246, 1255, 1260, 1262, 1265, 1267, 1271, 1273, 1274, 1275, 1281, 1284, 1287, 1296, 1299, 1301, 1303, 1305, 1311, 1312, 1313, 1318, 1321, 1323, 1326, 1329, 1337, 1339, 1341, 1344, 1348, 1349, 1350, 1353, 1355, 1357, 1359, 1363, 1365, 1370, 1372, 1385, 1386, 1387, 1390, 1392, 1395, 1397, 1399, 1401, 1405, 1410, 1413, 1415, 1419, 1422, 1423, 1424, 1428, 1430, 1434, 1441, 1451, 1458, 1459, 1460, 1463, 1468, 1471, 1472, 1473, 1475, 1476, 1477, 1478, 1480, 1482, 1483, 1484, 1490, 1491, 1492, 1493, 1495, 1497, 1498, 1499, 1504, 1505, 1506, 1511, 1514, 1515, 1516, 1519, 1521, 1522, 1523, 1525, 1526, 1527, 1530, 1531, 1532, 1534, 1535, 1536, 1540, 1541, 1542, 1544, 1549, 1551, 1556, 1557, 1558, 1560, 1565, 1572, 1579, 1583, 1586, 1587]}"
limited,"{1: [750, 1510]}"
interference,"{1: [1517, 1520, 1538]}"
personally,{1: [1283]}
four,{1: [154]}
corruptive,{1: [264]}
consists,{1: [338]}
hate,"{1: [247, 249, 249, 250]}"
ofzion,{1: [876]}
looking,"{1: [199, 1297]}"
votes,{1: [461]}
violate,{1: [1074]}
periodicals,{1: [537]}
condemns,{1: [653]}
teaching,"{1: [447, 620, 1064, 1569]}"
sorry,{1: [287]}
pride,"{1: [697, 844]}"
worth,"{1: [677, 1454]}"
merchant,{1: [1207]}
risk,"{1: [862, 906]}"
void,{1: [1052]}
rise,{1: [89]}
misunderstanding,{1: [1084]}
every,"{1: [90, 97, 110, 133, 137, 329, 360, 520, 621, 627, 730, 774, 838, 845, 905, 908, 924, 924, 1151, 1377, 1462]}"
govern,{1: [1182]}
jacob,"{1: [54, 149, 171, 183, 916]}"
encounter,{1: [407]}
believed,{1: [1447]}
school,"{1: [539, 1233]}"
dominate,{1: [923]}
nigger,{1: [399]}
burke,{1: [39]}
triumph,{1: [40]}
enjoy,"{1: [176, 647, 688]}"
disclose,{1: [844]}
force,"{1: [578, 667, 746, 762, 770, 889]}"
leaders,"{1: [140, 259, 1174]}"
concise,{1: [1485]}
judaization,"{1: [99, 628]}"
elections,{1: [460]}
preacher,"{1: [283, 905]}"
surrounding,{1: [1486]}
second,{1: [889]}
street,{1: [170]}
believing,"{1: [623, 1023]}"
rigorous,{1: [550]}
implemented,{1: [1563]}
even,"{1: [111, 143, 241, 360, 425, 461, 493, 622, 629, 639, 722, 817, 839, 853, 941, 1173, 1192, 1214, 1251, 1379, 1383, 1403, 1427]}"
established,"{1: [354, 471, 943]}"
hide,{1: [318]}
christ,"{1: [27, 35, 267, 268, 272, 275, 277, 280, 283, 287, 476, 709, 800, 1127, 1215, 1245, 1249, 1251, 1269, 1381]}"
deliberate,"{1: [258, 1250]}"
saved,"{1: [902, 911, 1069, 1335]}"
beaten,{1: [863]}
asia,{1: [1257]}
oaths,{1: [1051]}
new,"{1: [67, 149, 183, 451, 1231]}"
increasing,"{1: [581, 582, 603]}"
ever,"{1: [195, 214, 577, 581, 643, 752, 753, 757, 839, 1131, 1258, 1293, 1356, 1360]}"
stooges,"{1: [463, 907]}"
told,"{1: [195, 401, 919, 938, 1062, 1294, 1391, 1444, 1466]}"
agreement,"{1: [943, 988, 995, 1072, 1080, 1082, 1407, 1417]}"
gentiles,"{1: [324, 424, 624, 1149, 1178, 1346]}"
whose,{1: [907]}
men,"{1: [40, 108]}"
interdependent,{1: [59]}
drew,{1: [126]}
protection,{1: [1520]}
china,{1: [830]}
active,{1: [763]}
referring,"{1: [1147, 1314]}"
kids,"{1: [1248, 1374, 1375]}"
antisemitic,"{1: [251, 252]}"
tapes,"{1: [847, 1072, 1073, 1074, 1083, 1408]}"
study,"{1: [401, 1324]}"
economics,{1: [643]}
reports,{1: [156]}
credit,"{1: [588, 589]}"
donning,{1: [318]}
leaven,{1: [709]}
adopting,{1: [617]}
changes,{1: [1426]}
criticism,{1: [256]}
divide,"{1: [897, 1360]}"
explained,"{1: [14, 765]}"
schooling,{1: [1097]}
highly,{1: [88]}
brought,"{1: [105, 752, 850, 927, 1431]}"
visible,"{1: [320, 339]}"
